正面 (Word),背面释义 (Definition),例句 (Sentence),词根/助记 (Mnemonic),难度标签 (Tag)
grave,"[/greɪv/]<br>n. 墓穴，坟墓；死亡<br>adj. 重大的；严肃的；黯淡的<br>vt. 雕刻；铭记",The situation is becoming very grave. (局势变得非常严峻。),"grav (重) -> 心情沉重 -> 严肃的/严重的；坟墓是人生沉重的终点。",高考英语词汇
gravity,"[/ˈɡrævəti/]<br>n. 重力，地心引力；严重性；庄严",Newton discovered the law of gravity. (牛顿发现了万有引力定律。),"grav (重) + ity (名词后缀) -> 重力/严重性。",高考英语词汇
great,"[/ɡreɪt/]<br>n. 大师；大人物；伟人们<br>adj. 伟大的，重大的；极好的，好的；主要的",She has shown great courage. (她表现出了巨大的勇气。),基础词汇，无需助记。,高考英语词汇
greatness,"[/ˈɡreɪtnəs/]<br>n. 伟大；巨大",He achieved greatness in his field. (他在自己的领域取得了伟大的成就。),"great (伟大) + ness (名词后缀)。",高考英语词汇
greedy,"[/ˈɡriːdi/]<br>adj. 贪婪的；贪吃的；渴望的",Don't be so greedy. (别那么贪婪。),"greed (贪婪) + y (形容词后缀)。",高考英语词汇
green,"[/ɡriːn/]<br>n. 绿色；青春<br>adj. 绿色的；青春的<br>vt. 使…变绿色<br>vi. 变绿色",We need to adopt greener energy sources. (我们需要采用更环保的能源。),象征“环保”、“新手”或“嫉妒”。,高考英语词汇
greet,"[/ɡriːt/]<br>vt. 欢迎，迎接；致敬，致意；映入眼帘",She greeted me with a smile. (她微笑着向我致意。),"谐音“给热茶” -> 客人来了给热茶 -> 欢迎/致意。",高考英语词汇
greeting,"[/ˈɡriːtɪŋ/]<br>n. 问候，招呼；祝贺<br>v. 致敬，欢迎（greet的现在分词）",He sent specific greetings to his family. (他专门向家人表示了问候。),"greet (问候) + ing (名词后缀)。",高考英语词汇
grey,"[/ɡreɪ/]<br>n. 灰色<br>adj. 灰色的；灰白的<br>vt. 使变成灰色；使变老<br>vi. 变成灰色；老化",The sky was grey and cloudy. (天空灰蒙蒙的，多云。),"颜色词，grey(英式)/gray(美式)。",高考英语词汇
grief,"[/ɡriːf/]<br>n. 悲痛；忧伤；不幸",She was overcome with grief. (她悲痛欲绝。),"grav (重) -> 心情沉重 -> 悲伤。谐音“鬼父” -> 悲剧 -> 悲伤。",高考英语词汇
grocery,"[/ˈɡroʊsəri/]<br>n. 食品杂货店<br>食品杂货",I need to buy some groceries. (我需要去买些杂货。),"grocer (杂货商) + y -> 杂货店。",高考英语词汇
ground,"[/ɡraʊnd/]<br>n. 地面；土地；范围；战场;根据<br>v. 研磨（grind的过去分词）；压迫<br>adj. 土地的；地面上的；磨碎的；磨过的<br>vt. 使接触地面；打基础；使搁浅<br>vi. 着陆；搁浅；依靠","The plane was grounded due to fog. (飞机因雾停飞。)",基础词汇。be grounded (被禁足/停飞)。,高考英语词汇
group,"[/ɡruːp/]<br>n. 组；团体<br>adj. 群的；团体的<br>vt. 把…聚集；把…分组<br>vi. 聚合",We worked in groups of four. (我们四人一组工作。),基础词汇。,高考英语词汇
