正面 (Word),背面释义 (Definition),例句 (Sentence),词根/助记 (Mnemonic),难度标签 (Tag)
grave,"n. 墓穴，坟墓；死亡
adj. 重大的；严肃的；黯淡的
vt. 雕刻；铭记",待补充,待补充,高考英语词汇
gravity,n. 重力，地心引力；严重性；庄严,待补充,待补充,高考英语词汇
great,"n. 大师；大人物；伟人们
adj. 伟大的，重大的；极好的，好的；主要的",待补充,待补充,高考英语词汇
greatness,n. 伟大；巨大,待补充,待补充,高考英语词汇
greedy,adj. 贪婪的；贪吃的；渴望的,待补充,待补充,高考英语词汇
green,"n. 绿色；青春
adj. 绿色的；青春的
vt. 使…变绿色
vi. 变绿色",待补充,待补充,高考英语词汇
greet,vt. 欢迎，迎接；致敬，致意；映入眼帘,待补充,待补充,高考英语词汇
greeting,"n. 问候，招呼；祝贺
v. 致敬，欢迎（greet的现在分词）",待补充,待补充,高考英语词汇
grey,"n. 灰色
adj. 灰色的；灰白的
vt. 使变成灰色；使变老
vi. 变成灰色；老化",待补充,待补充,高考英语词汇
grief,n. 悲痛；忧伤；不幸,待补充,待补充,高考英语词汇
grocery,"n. 食品杂货店
食品杂货",待补充,待补充,高考英语词汇
ground,"n. 地面；土地；范围；战场;根据
v. 研磨（grind的过去分词）；压迫
adj. 土地的；地面上的；磨碎的；磨过的
vt. 使接触地面；打基础；使搁浅
vi. 着陆；搁浅",待补充,待补充,高考英语词汇
group,"n. 组；团体
adj. 群的；团体的
vt. 把…聚集；把…分组
vi. 聚合",待补充,待补充,高考英语词汇
grow,"vi. 发展；生长；渐渐变得…
vt. 使生长；种植；扩展",待补充,待补充,高考英语词汇
grown-up,"n. 成年人
adj. 成熟的",待补充,待补充,高考英语词汇
growth,n. 增长；发展；生长；种植,待补充,待补充,高考英语词汇
guarantee,"n. 保证；担保；保证人；保证书；抵押品
vt. 保证；担保",待补充,待补充,高考英语词汇
guard,"n. 守卫；警戒；护卫队；防护装置
vi. 警惕
vt. 保卫；监视",待补充,待补充,高考英语词汇
guess,"n. 猜测；推测
vi. 猜；推测；猜中
vt. 猜测；认为；推测；猜中
n. 盖尔斯（美国服装品牌）",待补充,待补充,高考英语词汇
guest,"n. 客人，宾客；顾客
adj. 客人的；特邀的，客座的
vt. 款待，招待
vi. 作客，寄宿",待补充,待补充,高考英语词汇
guidance,n. 指导，引导；领导,待补充,待补充,高考英语词汇
guide,"n. 指南；向导；入门书
vt. 引导；带领；操纵
vi. 担任向导",待补充,待补充,高考英语词汇
guilty,adj. 有罪的；内疚的,待补充,待补充,高考英语词汇
guitar,"n. 吉他，六弦琴
vi. 弹吉他",待补充,待补充,高考英语词汇
gulf,"n. 海湾；深渊；分歧；漩涡
vt. 吞没",待补充,待补充,高考英语词汇
gum,"n. 口香糖；树胶；橡皮
vt. 用胶粘，涂以树胶；使…有粘性",待补充,待补充,高考英语词汇
gun,"n. 枪支；枪状物；持枪歹徒
vt. 向…开枪；开大油门
vi. 用枪射击；加大油门快速前进",待补充,待补充,高考英语词汇
guy,"n. 男人，家伙
vt. 嘲弄，取笑
vi. 逃跑",待补充,待补充,高考英语词汇
gymnasium,n. 体育馆；健身房,待补充,待补充,高考英语词汇
habit,"n. 习惯，习性；嗜好
vt. 使穿衣",待补充,待补充,高考英语词汇
