Word,Definition,Pronunciation,Grammar,Example
a,"n. 字母A；第一流的；学业成绩达最高标准的评价符号
abbr. 安（ampere）",/eɪ/,"a bit of, a couple of, a great deal of, a number of",He has a great deal of experience in teaching. 他在教学方面有丰富的经验。
abandon,"n. 放任；狂热
vt. 遗弃；放弃",/əˈbændən/,"abandon oneself to, abandon hope, abandon ship, abandon a plan",He abandoned himself to despair after the failure. 失败后，他陷入了绝望。
ability,n. 能力，能耐；才能,/əˈbɪləti/,"have the ability to, ability in, to the best of one's ability, demonstrate ability",She has the ability to solve complex problems quickly. 她有快速解决复杂问题的能力。
able,adj. 能； 有能力的；能干的,/ˈeɪbl/,"be able to, able-bodied, able and willing, able to do something",He is able to finish the task on time. 他能够按时完成任务。
abnormal,adj. 反常的，不规则的；变态的,/æbˈnɔːrml/,"abnormal behavior, abnormal conditions, abnormal psychology, abnormal growth",The abnormal weather caused many flight delays. 反常的天气导致许多航班延误。
aboard,"prep. 在…上
adv. 在飞机上； 在船上；在火车上",/əˈbɔːrd/,"go aboard, aboard a ship, aboard a plane, all aboard",Please go aboard the train quickly. 请快速登上火车。
about,"prep. 关于；大约
n. 大致；粗枝大叶；不拘小节的人
adj. 在附近的；四处走动的；在起作用的
adv. 大约；周围；到处",/əˈbaʊt/,"about to, talk about, think about, be about something",She is about to leave for school. 她即将出发去学校。
above,"prep. 超过；在……上面；在……之上
n. 上文
adj. 上文的
adv. 在上面；在上文",/əˈbʌv/,"above all, above average, above the law, above one's head","Above all, honesty is the most important quality. 最重要的是，诚实是最重要的品质。"
abroad,"n. 海外；异国
adj. 往国外的
adv. 在国外；到海外",/əˈbrɔːd/,"go abroad, study abroad, live abroad, travel abroad",He plans to study abroad next year. 他计划明年出国留学。
absence,n. 没有；缺乏；缺席；不注意,/ˈæbsəns/,"in the absence of, absence from, leave of absence, absence of mind","In the absence of evidence, the case was dismissed. 由于缺乏证据，案件被驳回。"
absent,"adj. 缺席的；缺少的；心不在焉的；茫然的
vt. 使缺席",/ˈæbsənt/,"absent from, absent-minded, be absent, absent oneself",She was absent from school due to illness. 她因病缺席了学校。
absolute,"n. 绝对；绝对事物
adj. 绝对的；完全的；专制的",/ˈæbsəluːt/,"absolute power, absolute truth, absolute zero, absolute majority",He has absolute confidence in his team. 他对自己的团队有绝对的信心。
absorb,vt. 吸收；吸引；承受；理解；使…全神贯注,/əbˈzɔːrb/,"absorb knowledge, absorb water, be absorbed in, absorb the cost",The sponge can absorb a lot of water. 海绵能吸收很多水。
