正面 (Word),背面释义 (Definition),例句 (Sentence),词根/助记 (Mnemonic),难度标签 (Tag)
hour,n. 小时；钟头；课时；…点钟,待补充,待补充,高考英语词汇
house,"n. 住宅；家庭；机构；议会；某种用途的建筑物
vt. 覆盖；给…房子住；把…储藏在房内
vi. 住",待补充,待补充,高考英语词汇
household,"n. 全家人，一家人；(包括佣工在内的)家庭，户
adj. 家庭的；日常的；王室的",待补充,待补充,高考英语词汇
housewife,n. 家庭主妇,待补充,待补充,高考英语词汇
housework,n. 家务事,待补充,待补充,高考英语词汇
hovercraft,n. 气垫船,待补充,待补充,高考英语词汇
how,"adv. 如何；多少；多么
n. 方法；方式
conj. 如何",待补充,待补充,高考英语词汇
however,"conj. 无论以何种方式; 不管怎样
adv. 无论如何；不管怎样（接副词或形容词）；然而；可是",待补充,待补充,高考英语词汇
huge,adj. 巨大的；庞大的；无限的,待补充,待补充,高考英语词汇
human,"n. 人；人类
adj. 人的；人类的",待补充,待补充,高考英语词汇
humanity,n. 人类；人道；仁慈；人文学科,待补充,待补充,高考英语词汇
humble,"adj. 谦逊的；简陋的；（级别或地位）低下的；不大的
vt. 使谦恭；轻松打败（尤指强大的对手）；低声下气",待补充,待补充,高考英语词汇
humor,"n. 幽默，诙谐；心情
vt. 迎合，迁就；顺应",待补充,待补充,高考英语词汇
humour,"n. 幽默（等于humor）；诙谐
vt. 迁就；使满足",待补充,待补充,高考英语词汇
hunger,"n. 饿，饥饿；渴望
vt. 使……挨饿
vi. 渴望；挨饿",待补充,待补充,高考英语词汇
hungry,adj. 饥饿的；渴望的；荒年的；不毛的,待补充,待补充,高考英语词汇
hunt,"n. 狩猎；搜寻
vt. 打猎；搜索
vi. 打猎；搜寻",待补充,待补充,高考英语词汇
hunter,n. 猎人；猎犬；搜寻者,待补充,待补充,高考英语词汇
hurried,"v. 催促；匆忙进行；急派（hurry的过去分词）
adj. 匆忙的；草率的",待补充,待补充,高考英语词汇
hurry,"n. 匆忙，急忙
v. 仓促（做某事）；催促；（朝某方向）迅速移动；迅速处理",待补充,待补充,高考英语词汇
hurt,"n. 痛苦；危害；痛苦的原因
vt. 使受伤；损害；使疼痛；使痛心
adj. 受伤的；痛苦的；受损的
vi. 感到疼痛；有坏处；带来痛苦",待补充,待补充,高考英语词汇
husband,"n. 丈夫
vt. 节约地使用（或管理）",待补充,待补充,高考英语词汇
hut,"n. 小屋；临时营房
vt. 使住在小屋中；驻扎
vi. 住在小屋中；驻扎",待补充,待补充,高考英语词汇
hydrogen,n.  氢,待补充,待补充,高考英语词汇
I,"n. 碘元素；英语字母I
pron. 我",待补充,待补充,高考英语词汇
ice,"n. 冰；冰淇淋；矜持；（俚）钻石
adj. 冰的
vt. 冰镇；结冰
vi. 结冰",待补充,待补充,高考英语词汇
idea,n. 想法；主意；概念,待补充,待补充,高考英语词汇
ideal,"n. 理想；典范
adj. 理想的；完美的；想象的；不切实际的",待补充,待补充,高考英语词汇
identification,n. 鉴定，识别；认同；身份证明,待补充,待补充,高考英语词汇
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致,待补充,待补充,高考英语词汇
